name|lastname|sex|birthdate
Nala Zuleika|Jalloh Ouedraogo|F|1982-4-3
Imani Nia|Olumide Diop|F|1988-7-24
Mamadou Moustapha|Chukwu Mulenga|M|1983-11-7
Boubacar Kwame|Nwosu Dlamini|M|1980-6-11
Aaliyah Amara|Traoré Sylla|F|2002-3-17
Ismail Aboubacar|Mahlatse Diallo|M|1979-5-4
Musa Amadou|Okafor Ndou|M|1985-5-6
Femi Yacouba|Bello Nkomo|M|1976-1-5
Kofi Moustapha|Gumede Modise|M|1962-5-12
Nala Halima|Nwosu Niang|F|1985-10-24
Yacouba Said|Djembe Okafor|M|2012-6-12
Femi Ali|Moyo Ouedraogo|M|1989-11-11
Yaa Chiamaka|Osman Toure|F|1975-11-4
Hassan Moustapha|Ouedraogo Mumba|M|1996-12-5
Haroun Malik|Bello Djembe|M|2011-5-15
Amadou Mustafa|Sow Djembe|M|1964-3-2
Wale Ismail|Diallo Nkosi|M|1957-2-13
Amina Zahara|Traoré Ndou|F|1994-7-12
Tahir Emmanuel|Jalloh Chukwu|M|1970-3-22
Tunde Kofi|Conteh Conteh|M|1991-5-8
Moustapha Mustafa|Nwosu Djembe|M|1974-7-22
Issa Kwame|Djembe Langa|M|1964-10-21
Zahara Ayana|Nkosi Ogbonna|F|2005-3-16
Ibrahima Musa|Phiri Tshabalala|M|1962-4-13
Kofi Ayo|Sylla Nkosi|M|2006-7-6
Mubarak Kwame|Ogwumike Nkomo|M|1964-6-21
Chiamaka Asma|Osman Ouedraogo|F|1999-6-19
Zuleika Aaliyah|Moyo Ogbonna|F|2001-6-8
Emmanuel Abdi|Sankoh Dlamini|M|1993-3-25
Jabari Yacouba|Chanda Abdullahi|M|1960-5-10
Boubacar Ayo|Obi Moyo|M|1981-1-20
Ayana Chiamaka|Olumide Ogbonna|F|2008-7-24
Solomon Moustapha|Mpofu Gumede|M|2007-4-20
Thandiwe Tariro|Dlamini Mumba|F|1999-7-20
Oladipo Sani|Eze Djembe|M|1974-1-19
Sanaa Ayana|Abdullahi Banda|F|1984-5-5
Kwesi Yacouba|Moyo Moyo|M|1992-8-21
Abdi Tahir|Ouedraogo Mahlatse|M|1964-2-18
Suleiman Tunde|Nwachukwu Bello|M|1966-12-16
Aminata Ime|Sow Jalloh|F|1970-11-6
Ousmane Mohammed|Dlamini Abdullahi|M|1965-6-16
Mohammed Abdi|Conteh Keita|M|1988-7-13
Sani Issa|Ndou Phiri|M|1980-12-18
Diop Femi|Olumide Ndlovu|M|1999-3-1
Diop Amadi|Diallo Mahlatse|M|1958-6-2
Mubarak Kwame|Mokone Chanda|M|2008-11-16
Mubarak Adebayo|Gumede Abdullahi|M|1972-11-21
Zara Aminata|Niang Mahlatse|F|1999-2-14
Mamadou Adebayo|Diop Jalloh|M|1967-11-12
Mustafa Abdi|Nwachukwu Mensah|M|1969-5-9
Chukwuemeka Jabari|Sankoh Mpofu|M|1992-11-6
Sani Youssef|Banda Obi|M|1971-1-20
Ayo Nala|Nwosu Gumede|F|2010-1-13
Malik Mohammed|Ba Keita|M|2003-5-12
Mamadou Yacouba|Kamara Ogwumike|M|2003-7-13
Adewale Ibrahima|Ogwumike Gumede|M|2004-9-22
Amara Kadija|Mpofu Nkosi|F|1985-11-8
Oladipo Mustafa|Banda Gumede|M|1976-11-7
Alima Layla|Mokone Ouedraogo|F|1998-5-17
Ayo Wale|Niang Okafor|M|1958-9-25
Lamine Kwesi|Sow Niang|M|1986-10-25
Amara Nala|Sow Chanda|F|1978-9-11
Nala Ife|Sylla Dlamini|F|2004-7-14
Tahir Ahmed|Olumide Mohammed|M|1974-1-14
Hassan Temba|Tshabalala Banda|M|1987-6-1
Haroun Ahmed|Conteh Phiri|M|1997-4-17
Adjoa Zoya|Sow Mahlatse|F|1960-5-18
Kofi Kwesi|Niang Conteh|M|1982-2-3
Amina Taraji|Ogwumike Keita|F|2006-2-9
Nabil Oumar|Chukwu Ogwumike|M|1996-3-21
Jabari Kwame|Dlamini Nkosi|M|1979-10-8
Yacouba Youssef|Nkosi Nkosi|M|1965-7-23
Amadou Jabari|Bello Sow|M|1955-4-1
Nkechi Imani|Ndou Nkosi|F|1997-2-23
Wale Kofi|Tshabalala Olumide|M|1994-1-8
Nala Nia|Nwosu Toure|F|1995-6-8
Ismail Oladipo|Nwosu Nkomo|M|2006-7-13
Ayo Amara|Mumba Keita|F|1998-1-3
Fatima Salma|Nkosi Phiri|F|1997-4-11
Mamadou Tahir|Bello Toure|M|2006-12-23
Lamine Amadou|Mensah Osman|M|1956-8-14
Suleiman Jabari|Moyo Nwosu|M|1976-12-24
Youssef Boubacar|Nkomo Diop|M|1997-3-1
Adjoa Kehinde|Langa Ba|F|2003-12-15
Aboubacar Diop|Conteh Keita|M|1993-8-19
Zara Malika|Mahlatse Mokone|F|2006-5-4
Lamine Temba|Mulenga Mumba|M|1972-1-10
Temba Chinedu|Keita Conteh|M|1957-6-1
Boubacar Amadou|Toure Mumba|M|1967-12-18
Femi Boubacar|Mensah Tshabalala|M|1985-3-12
Ayana Nala|Obi Mohammed|F|2005-9-16
Amadi Chinedu|Chanda Ndiaye|M|1970-10-1
Ahmed Mohammed|Conteh Mumba|M|1964-3-21
Nala Asma|Traoré Mohammed|F|1964-12-18
Kadija Zoya|Okafor Traoré|F|1992-11-7
Aboubacar Nabil|Obi Ndlovu|M|1977-2-14
Nia Nkechi|Niang Traoré|F|1956-5-9
Sani Adebayo|Sylla Ogwumike|M|1998-8-18
Mohammed Amadou|Okafor Bello|M|1961-5-16
Amadi Oladipo|Sylla Mahlatse|M|1986-9-21
Sanaa Nadia|Dlamini Chanda|F|1976-3-21
Wale Mubarak|Nwachukwu Nkosi|M|2001-2-8
Tariq Chinedu|Sylla Jalloh|M|1961-9-14
Moustapha Kwame|Tshabalala Eze|M|2006-12-19
Amina Safiya|Sow Chukwu|F|2007-3-10
Tariro Adaeze|Gumede Keita|F|1979-2-17
Kwesi Abdi|Mohammed Conteh|M|1970-1-18
Mohammed Ali|Traoré Okafor|M|1961-2-6
Ayana Ime|Modise Dlamini|F|1969-11-22
Chinedu Chukwuemeka|Banda Mpofu|M|1963-10-19
Abdi Mamadou|Bello Gumede|M|1972-3-16
Hassan Aboubacar|Diop Nkosi|M|2013-10-19
Aboubacar Ibrahima|Mulenga Bello|M|1976-8-5
Chinedu Ahmed|Ndlovu Olumide|M|1969-7-6
Imani Aminata|Tshabalala Nkomo|F|1960-1-3
Chinedu Emmanuel|Niang Kamara|M|1993-4-24
Mubarak Mubarak|Olumide Sylla|M|1993-3-22
Mohammed Solomon|Traoré Niang|M|1997-7-8
Nia Aminata|Conteh Nkomo|F|1954-12-13
Ahmed Kwesi|Langa Konaté|M|1977-3-25
Oladipo Diop|Sow Ndlovu|M|1964-8-24
Adaeze Nala|Abdullahi Jalloh|F|1975-11-23
Suleiman Diop|Ogwumike Langa|M|1964-12-7
Aboubacar Tariq|Djembe Ogwumike|M|1999-11-7
Tahir Wale|Sylla Abdullahi|M|1993-9-19
Solomon Musa|Kamara Keita|M|1960-2-11
Asma Adanna|Nkosi Jalloh|F|1984-12-22
Temba Lamine|Eze Sow|M|1991-10-9
Emmanuel Kofi|Nwosu Sylla|M|1968-2-24
Ali Sani|Toure Diallo|M|2012-6-8
Nia Ayo|Conteh Nkosi|F|2006-12-11
Emmanuel Hassan|Jalloh Eze|M|1960-1-10
Nala Zainab|Mokone Modise|F|1966-10-4
Kofi Femi|Modise Obi|M|1981-9-21
Kwame Femi|Mahlatse Traoré|M|2013-5-4
Haroun Wale|Ba Traoré|M|1961-10-16
Wale Temba|Chukwu Olumide|M|1982-7-25
Zahara Salma|Mohammed Nwosu|F|1977-5-2
Femi Solomon|Eze Mahlatse|M|1989-9-16
Nkechi Aminata|Djembe Moyo|F|1988-3-18
Ahmed Kwesi|Mohammed Okafor|M|1993-6-9
Salma Nzinga|Sow Bello|F|1992-5-1
Oladipo Femi|Nkosi Keita|M|1956-7-6
Amadou Ali|Nkosi Osman|M|1980-3-13
Moustapha Adewale|Keita Nkosi|M|2000-10-20
Salma Zola|Tshabalala Olumide|F|1995-4-3
Sani Yacouba|Langa Langa|M|1976-6-20
Malika Amina|Traoré Sow|F|1972-5-19
Ayo Chiamaka|Ogbonna Jalloh|F|1992-1-13
Mohammed Ayo|Okafor Niang|M|1974-8-17
Safiya Tariro|Mumba Obi|F|1966-6-12
Wale Kofi|Banda Mensah|M|1975-11-17
Tahir Moustapha|Phiri Sow|M|1963-2-9
Kofi Haroun|Mensah Okafor|M|1975-2-7
Salma Sanaa|Mahlatse Niang|F|1990-2-11
Mohammed Ousmane|Konaté Chanda|M|1957-7-14
Musa Ahmed|Kamara Abdullahi|M|1983-2-13
Chukwuemeka Jabari|Osman Conteh|M|2011-7-16
Aboubacar Amadou|Ndiaye Keita|M|1995-1-3
Kwesi Femi|Ndou Mpofu|M|2011-1-16
Femi Haroun|Ouedraogo Toure|M|1967-8-9
Nabil Haroun|Olumide Okafor|M|1989-9-21
Tunde Lamine|Abdullahi Obi|M|1978-6-17
Adebayo Femi|Konaté Sylla|M|2013-5-17
Said Wale|Mahlatse Tshabalala|M|1965-9-21
Zahara Chiamaka|Bello Ogbonna|F|1958-4-5
Mustafa Temba|Ogwumike Langa|M|1972-12-17
Chukwuemeka Emmanuel|Toure Kamara|M|1997-6-7
Amadi Ayo|Jalloh Chukwu|M|1995-1-8
Adewale Jabari|Sow Mumba|M|2010-10-3
Kwame Issa|Sylla Osman|M|1969-12-9
Jabari Kwame|Modise Keita|M|1958-6-1
Nala Thandiwe|Nwosu Toure|F|1979-1-16
Adebayo Diop|Ogbonna Banda|M|1964-7-5
Adebayo Ahmed|Mensah Diop|M|2005-11-10
Musa Malik|Mumba Gumede|M|1986-10-15
Amina Aaliyah|Ba Conteh|F|1965-2-15
Zuleika Zainab|Djembe Osman|F|2002-7-24
Mubarak Sani|Dlamini Diallo|M|2012-12-25
Youssef Lamine|Nkomo Konaté|M|1970-10-25
Issa Youssef|Banda Ndou|M|1995-12-16
Tariq Ousmane|Sylla Keita|M|2004-10-10
Amara Aminata|Niang Nkosi|F|1970-4-2
Nabil Issa|Traoré Djembe|M|1958-7-8
Adewale Wale|Nkosi Ndlovu|M|1994-7-1
Juma Ayo|Mahlatse Modise|M|1995-5-5
Nabil Abdi|Diallo Osman|M|1969-6-7
Ayo Musa|Mohammed Eze|M|1954-6-25
Hassan Ousmane|Nwosu Nwachukwu|M|1956-3-19
Kwame Mohammed|Conteh Modise|M|1991-1-25
Nabil Abdi|Okafor Mumba|M|1993-4-5
Tunde Mamadou|Banda Ba|M|1984-1-8
Femi Ismail|Gumede Nkosi|M|1992-1-10
Tunde Oumar|Mulenga Mulenga|M|1962-6-4
Mamadou Tunde|Ogbonna Sylla|M|1970-8-21
Adaeze Zara|Sankoh Sankoh|F|1959-3-1
Moustapha Chinedu|Mulenga Diop|M|1973-4-14
Alima Amina|Gumede Moyo|F|1956-8-19
Fatima Kadija|Ogbonna Ndiaye|F|2004-6-6
Samira Nia|Bello Phiri|F|2011-9-24
Mariam Sanaa|Mahlatse Mulenga|F|1963-3-5
Safiya Zoya|Nkosi Nwosu|F|2008-2-20
Said Chinedu|Mohammed Olumide|M|1961-10-15
Aboubacar Musa|Osman Abdullahi|M|1986-5-20
Temba Solomon|Ogbonna Sylla|M|1957-10-23
Chinedu Malik|Eze Konaté|M|2009-5-14
Ahmed Tahir|Nkosi Diop|M|1977-2-22
Hassan Boubacar|Nwachukwu Mahlatse|M|1995-5-16
Oumar Yacouba|Kamara Nwosu|M|2001-3-2
Yaa Zola|Djembe Chanda|F|2000-1-16
Kofi Ayo|Djembe Jalloh|M|1955-4-18
Kwame Malik|Moyo Niang|M|1974-2-10
Ime Salma|Sankoh Niang|F|2006-2-13
Oladipo Adebayo|Phiri Jalloh|M|2011-11-13
Mohammed Mamadou|Ogbonna Eze|M|1954-2-5
Nala Layla|Ogbonna Mensah|F|1959-3-5
Chiamaka Adaeze|Dlamini Ndiaye|F|1992-2-24
Juma Tariq|Ogwumike Mpofu|M|1963-9-25
Ibrahima Moustapha|Mulenga Sylla|M|1984-3-11
Zoya Nala|Kamara Osman|F|1967-4-21
Ousmane Hassan|Niang Mahlatse|M|1996-9-7
Aboubacar Kofi|Djembe Gumede|M|1988-3-8
Abdi Ibrahima|Konaté Nkomo|M|1977-3-15
Asha Samira|Banda Nkomo|F|2009-6-3
Zara Safiya|Ouedraogo Modise|F|1977-4-20
Issa Tahir|Olumide Nwachukwu|M|1990-8-24
Youssef Ayo|Nkosi Keita|M|1992-7-20
Tariq Mohammed|Bello Ndiaye|M|1978-11-7
Layla Adaeze|Eze Ba|F|1960-1-19
Kofi Ismail|Eze Konaté|M|2004-4-6
Oladipo Oladipo|Mulenga Mumba|M|1970-5-12
Said Tunde|Nwosu Nwosu|M|1999-3-20
Lamine Mohammed|Mensah Diallo|M|1983-4-10
Zoya Nadia|Nwosu Toure|F|2008-7-8
Tahir Solomon|Phiri Traoré|M|2002-4-24
Zahara Nzinga|Gumede Toure|F|2014-1-15
Zoya Adaeze|Moyo Ndlovu|F|2013-9-21
Yaa Nala|Mulenga Chukwu|F|2002-6-14
Mustafa Amadi|Bello Ba|M|1994-3-21
Suleiman Temba|Mulenga Olumide|M|2004-6-13
Tariq Ismail|Diallo Modise|M|2011-5-16
Yacouba Ibrahima|Chanda Mpofu|M|1978-4-3
Sani Hassan|Osman Nkosi|M|2007-9-9
Kwame Jabari|Tshabalala Ogbonna|M|1979-6-22
Kwesi Malik|Konaté Bello|M|2010-2-24
Adewale Sani|Mumba Eze|M|1993-8-4
Fatima Ayo|Nwosu Ouedraogo|F|1992-6-8
Nabil Emmanuel|Konaté Bello|M|2003-7-11
Haroun Diop|Obi Dlamini|M|2004-5-16
Hassan Malik|Keita Bello|M|2003-12-23
Zuleika Nzinga|Osman Banda|F|1987-9-17
Nzinga Mariam|Ndou Eze|F|1959-1-10
Juma Musa|Kamara Konaté|M|1970-1-16
Nala Zuleika|Nkomo Nkosi|F|1955-9-10
Chiamaka Sanaa|Diop Keita|F|1958-8-7
Ime Nia|Mpofu Bello|F|1977-2-10
Temba Temba|Banda Mahlatse|M|1988-8-23
Haroun Adewale|Toure Mulenga|M|2013-10-25
Diop Oladipo|Ogbonna Ba|M|2013-12-17
Moustapha Tunde|Mensah Conteh|M|2002-2-4
Ahmed Diop|Jalloh Ogwumike|M|2012-5-18
Haroun Adewale|Langa Nkosi|M|2011-12-16
Zainab Imani|Banda Nkosi|F|1960-10-6
Aboubacar Mubarak|Moyo Sow|M|1959-5-17
Tunde Kwesi|Mumba Ogwumike|M|1985-1-13
Ime Nzinga|Mulenga Olumide|F|1991-12-21
Ali Ibrahima|Mumba Toure|M|1965-1-24
Tunde Ahmed|Ndou Ba|M|1963-10-20
Lamine Kwame|Kamara Mensah|M|1993-8-4
Zara Ayanna|Abdullahi Djembe|F|1971-1-22
Chinedu Nabil|Tshabalala Dlamini|M|1965-11-18
Malika Fatima|Obi Nwachukwu|F|2001-12-20
Jabari Chukwuemeka|Nwosu Conteh|M|1965-8-4
Ahmed Ali|Dlamini Nkosi|M|1974-2-21
Tunde Mubarak|Ndiaye Mpofu|M|1979-4-16
Adebayo Oumar|Toure Phiri|M|1972-9-25
Aisha Aisha|Ndlovu Ouedraogo|F|1994-5-1
Wale Abdi|Nkosi Modise|M|1964-11-12
Kofi Ayo|Eze Ogbonna|M|1985-11-9
Wale Ali|Mulenga Mensah|M|1956-8-17
Adaeze Yaa|Mahlatse Ndou|F|1957-10-24
Amadi Solomon|Ndiaye Tshabalala|M|1970-12-16
Amadi Abdi|Conteh Mohammed|M|1987-10-1
Jabari Femi|Chanda Sow|M|1987-6-19
Adewale Nabil|Niang Ndlovu|M|2007-6-16
Ime Fatima|Mohammed Niang|F|2010-4-22
Oumar Emmanuel|Mohammed Sankoh|M|1990-5-23
Tahir Nabil|Diallo Mulenga|M|1968-10-8
Ayana Asma|Ndou Mensah|F|2002-8-1
Boubacar Youssef|Diop Traoré|M|1962-1-25
Moustapha Kwame|Nwosu Mumba|M|1979-4-3
Zara Halima|Ndlovu Ba|F|2001-9-20
Adebayo Mustafa|Nkosi Langa|M|1955-11-9
Emmanuel Diop|Obi Sow|M|1969-2-5
Emmanuel Chukwuemeka|Chanda Sow|M|1955-11-22
Suleiman Aboubacar|Mulenga Mohammed|M|1961-2-8
Ismail Moustapha|Mokone Moyo|M|1973-6-11
Amadou Amadi|Okafor Diallo|M|2005-5-1
Said Jabari|Mokone Ndou|M|1994-10-12
Ahmed Ali|Obi Diallo|M|1957-5-16
Ayo Issa|Niang Ndou|M|2006-2-20
Nala Aisha|Nkomo Ba|F|1966-5-21
Amina Nala|Okafor Toure|F|1966-10-6
Sanaa Amara|Nkosi Mumba|F|1979-2-5
Temba Oumar|Mensah Moyo|M|1955-1-15
Mamadou Ali|Ogbonna Sylla|M|1990-11-2
Adjoa Nkechi|Ndou Okafor|F|1954-10-12
Tahir Femi|Sow Ogwumike|M|2005-9-21
Nala Ime|Sow Phiri|F|1957-11-1
Mohammed Wale|Nwosu Langa|M|2002-5-20
Ousmane Boubacar|Banda Mokone|M|1977-7-22
Mamadou Chukwuemeka|Sankoh Moyo|M|1972-12-16
Tahir Ismail|Moyo Sankoh|M|1972-3-25
Aboubacar Amadou|Mulenga Phiri|M|2008-6-24
Ayo Malik|Sankoh Gumede|M|1954-2-25
Sanaa Asma|Mohammed Modise|F|2002-4-6
Amadou Tahir|Nwosu Nwosu|M|1967-11-23
Mamadou Oladipo|Banda Moyo|M|2014-6-8
Ali Musa|Moyo Nkosi|M|2002-9-22
Tunde Adewale|Nwosu Mohammed|M|1982-5-3
Ime Kadija|Konaté Ba|F|1975-7-3
Kwame Jabari|Modise Djembe|M|1968-12-1
Ahmed Amadou|Djembe Mohammed|M|1963-5-15
Tunde Musa|Tshabalala Kamara|M|1970-4-3
Moustapha Youssef|Moyo Mahlatse|M|1963-8-16
Ife Nadia|Gumede Jalloh|F|1985-8-13
Jabari Adebayo|Jalloh Dlamini|M|1969-8-9
Abdi Mubarak|Dlamini Osman|M|1972-4-13
Ibrahima Tahir|Djembe Mokone|M|1988-12-8
Juma Ahmed|Phiri Jalloh|M|1998-7-1
Ayo Ismail|Keita Traoré|M|1973-10-6
Amadou Chinedu|Mahlatse Ouedraogo|M|1995-10-11
Jabari Jabari|Eze Keita|M|1999-6-4
Femi Nabil|Modise Ndlovu|M|2001-9-21
Oladipo Aboubacar|Okafor Kamara|M|1986-7-22
Oladipo Jabari|Olumide Nkosi|M|2011-5-6
Kehinde Nkechi|Mahlatse Toure|F|1967-1-8
Alima Nia|Banda Ogwumike|F|2006-11-8
Haroun Mohammed|Banda Olumide|M|1975-6-5
Halima Alima|Langa Mahlatse|F|1981-3-24
Ismail Kwame|Konaté Phiri|M|2007-2-11
Aboubacar Diop|Toure Olumide|M|1966-7-5
Zainab Chiamaka|Obi Modise|F|2006-2-17
Jabari Juma|Ogbonna Sankoh|M|1972-7-8
Femi Amadou|Diallo Ogwumike|M|1995-10-14
Kadija Ayo|Mensah Djembe|F|1988-2-10
Mustafa Chukwuemeka|Mensah Mokone|M|2003-9-25
Asha Mariam|Jalloh Niang|F|1983-11-4
Ibrahima Wale|Ba Tshabalala|M|2009-10-25
Tariro Safiya|Ndou Gumede|F|1979-8-22
Nia Zoya|Mokone Mumba|F|1972-10-23
Nia Aaliyah|Jalloh Ndlovu|F|2011-5-14
Lamine Sani|Djembe Keita|M|2001-5-7
Diop Haroun|Ba Nkosi|M|1981-5-7
Boubacar Mamadou|Obi Eze|M|2001-7-25
Haroun Tariq|Mumba Ogbonna|M|1972-9-12
Amara Zoya|Nwachukwu Jalloh|F|1996-7-24
Mamadou Haroun|Osman Nkomo|M|2013-4-11
Ibrahima Tunde|Langa Traoré|M|1979-10-17
